month,week_of_month,day_of_week,make,accident_area,month_claimed,week_of_month_claimed,day_of_week_claimed,year,weeks_past,is_holidayweek_claim,sex,marital_status,fault,vehicle_category,vehicle_price,rep_number,deductible,driver_rating,days_policy-accident,days_policy-claim,past_number_of_claims,age_of_vehicle,age_of_policy-holder,police_report_filed,witness_present,agent_type,number_of_suppliments,address_change-claim,number_of_cars,base_policy,class
dec,5,wednesday,honda,urban,jan,1,tue,1994,1,1,female,single,policy-holder,sport,>69,12,300,1,>30,>30,none,4-Jan,26<=X<=30,no,no,external,none,one,3<=X<=4,liability,legal
jan,3,wednesday,honda,urban,jan,4,mon,1994,1,0,male,single,policy-holder,sport,>69,15,400,4,>30,>30,none,6,31<=X<=35,yes,no,external,none,none,<3,collision,legal
oct,5,friday,honda,urban,nov,2,thu,1994,2,1,male,married,policy-holder,sport,>69,7,400,3,>30,>30,one,7,41<=X<=50,no,no,external,none,none,<3,collision,legal
jun,2,saturday,toyota,rural,jul,1,fri,1994,4,0,male,married,third-party,sport,20<=X<=29,4,400,2,>30,>30,one,8,51<=X<=65,yes,no,external,>5,none,<3,liability,legal
jan,5,monday,honda,urban,feb,2,tue,1994,2,0,female,single,third-party,sport,>69,3,400,1,>30,>30,none,5,31<=X<=35,no,no,external,none,none,<3,collision,legal
oct,4,friday,honda,urban,nov,1,wed,1994,2,0,male,single,third-party,sport,>69,12,400,3,>30,>30,none,5,21<=X<=25,no,no,external,3<=X<=5,none,<3,collision,legal
feb,1,saturday,honda,urban,feb,3,mon,1994,2,0,male,married,third-party,sport,>69,14,400,1,>30,>30,one,7,36<=X<=40,no,no,external,1<=X<=2,none,<3,collision,legal
nov,1,friday,honda,urban,mar,4,tue,1994,23,0,male,single,policy-holder,sport,>69,1,400,4,>30,>30,one,4-Jan,16<=X<=17,no,no,external,none,none,<3,collision,legal
dec,4,saturday,honda,urban,dec,5,wed,1994,1,0,male,single,policy-holder,sport,>69,7,400,4,>30,>30,none,6,31<=X<=35,no,yes,external,3<=X<=5,none,<3,collision,legal
apr,3,tuesday,ford,urban,apr,3,wed,1994,0,0,male,married,policy-holder,utility,>69,7,400,1,>30,>30,2<=X<=4,8,36<=X<=40,no,no,external,3<=X<=5,none,<3,all-perils,legal
mar,2,sunday,mazda,urban,mar,3,wed,1994,1,0,male,single,policy-holder,sedan,>69,7,400,3,>30,>30,none,8,>65,no,no,external,none,none,<3,all-perils,legal
mar,5,monday,honda,urban,mar,5,mon,1994,0,0,male,married,policy-holder,sport,20<=X<=29,13,400,1,>30,>30,2<=X<=4,8,41<=X<=50,no,no,external,none,none,<3,liability,legal
jan,3,friday,ford,urban,jan,3,fri,1994,0,1,male,married,policy-holder,sport,>69,11,400,1,>30,>30,one,7,31<=X<=35,no,no,external,none,none,<3,liability,legal
